Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ054B473ZNBIN.JPG","478-BZ054B473ZNBBQ-ND","BZ054B473ZNBBQ","AVX Corporation","AVX Corporation","BESTCAP","0","12.64728","0","400","Bulk","BestCap® BZ","Active","47 mF","-20%, +80%","4.5 V","-","1000 Hrs @ 70°C","-","Through Hole","BZ05, 2 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","-","-20°C ~ 70°C"
"https://www.vishay.com/docs/28409/196hvc.pdf","-","MAL219691253E3-ND","MAL219691253E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 15F -20% +80% 2.8V SMD","0","12.65","0","1","Tray","ENYCAP™ 196HVC","Active","15 F","-20%, +80%","2.8 V","1.2Ohm @ 1kHz","1000 Hrs @ 85°C","SMD (SMT) Tabs","Surface Mount","Coin, Wide Terminals Same Side","-","0.945"" L x 0.866"" W (24.00mm x 22.00mm)","0.150"" (3.80mm)","-20°C ~ 85°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLC-3R8/150MR12X25","//media.digikey.com/photos/TecateGroup/MFG_TPLC-3R8-150MR12X25.jpg","2085-TPLC-3R8/150MR12X25-ND","TPLC-3R8/150MR12X25","Tecate Group","Tecate Group","CAP HYBRID 150F 3.8V T/H","72","12.66","0","1","Tray","TPLC","Active","150 F","±20%","3.8 V","80mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.492"" Dia (12.50mm)","1.063"" (27.00mm)","-15°C ~ 70°C"
"-","-","478-BZ015B303ZSBAJ-ND","BZ015B303ZSBAJ","AVX Corporation","AVX Corporation","BESTCAP","0","12.66628","0","390","Bulk","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","478-BZ015B303ZWB-ND","BZ015B303ZWB","AVX Corporation","AVX Corporation","BESTCAP","0","12.66628","0","390","Bulk","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","478-BWA224103ZNB-ND","BWA224103ZNB","AVX Corporation","AVX Corporation","SUPERCAPS","0","12.66628","0","390","Bulk","-","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"http://nichicon-us.com/english/products/pdfs/e-jjc.pdf","//media.digikey.com/Photos/Nichicon%20Photos/EVERCAPJC25-SERIES.jpg","493-3311-ND","JJC0E566MELA","Nichicon","Nichicon","CAP 56F 20% 2.5V T/H","0","12.70988","0","250","Bulk","EVerCAP® JC","Active","56 F","±20%","2.5 V","70mOhm @ 1kHz","2000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can - Snap-In","0.394"" (10.00mm)","0.984"" Dia (25.00mm)","1.654"" (42.00mm)","-25°C ~ 60°C"
"https://www.vishay.com/docs/28409/196hvc.pdf","//media.digikey.com/Photos/Vishay%20BC%20Photos/MAL219691214E3.JPG","4706PHBK-ND","MAL219691214E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 15F -20% +80% 5.6V T/H","388","12.74","0","1","Tray","ENYCAP™ 196HVC","Active","15 F","-20%, +80%","5.6 V","2.4Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Horizontal","0.197"" (5.00mm)","0.472"" Dia x 0.394"" L (12.00mm x 10.00mm)","0.472"" (12.00mm)","-20°C ~ 85°C"
"https://www.vishay.com/docs/28409/196hvc.pdf","//media.digikey.com/Photos/Vishay%20BC%20Photos/MAL219691204E3.JPG","4705PHBK-ND","MAL219691204E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 15F -20% +80% 5.6V T/H","369","12.74","0","1","Tray","ENYCAP™ 196HVC","Active","15 F","-20%, +80%","5.6 V","2.4Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Vertical","0.492"" (12.50mm)","0.472"" Dia (12.00mm)","0.394"" (10.00mm)","-20°C ~ 85°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ055A333ZSB.jpg","478-BZ15CA223ZSB-ND","BZ15CA223ZSB","AVX Corporation","AVX Corporation","BESTCAP","0","12.74238","0","400","Bulk","BestCap® BZ","Active","22 mF","-20%, +80%","12 V","-","1000 Hrs @ 70°C","-","Surface Mount","BZ05, 3 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","-","-20°C ~ 70°C"
"-","-","478-BZ113B104ZCB-ND","BZ113B104ZCB","AVX Corporation","AVX Corporation","BESTCAP","0","12.79941","0","390","Bulk","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"http://www.maxwell.com/images/documents/2_7_100F_ds_3001959_datasheet.pdf","//media.digikey.com/Photos/Maxwell%20Technologies%20Photos/MFG_BCAP0100-P270-S07.jpg","1182-1046-ND","BCAP0100 P270 S07","Maxwell Technologies Korea Co., Ltd.","Maxwell Technologies Korea Co., Ltd.","CAP 100F 0% +20% 2.7V T/H","242","12.84","0","1","Bulk","HC","Active","100 F","0%, +20%","2.7 V","15mOhm","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.394"" (10.00mm)","0.866"" Dia (22.00mm)","1.850"" (47.00mm)","-40°C ~ 65°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/Photos/AVX%20Photos/BZ015B603ZAB.jpg","478-BZ015B303ZAB-ND","BZ015B303ZAB","AVX Corporation","AVX Corporation","BESTCAP","0","12.89451","0","390","Bulk","BestCap® BZ","Active","30 mF","-20%, +80%","5.5 V","192mOhm @ 1kHz","1000 Hrs @ 70°C","-","Through Hole","BZ01, 4 Lead","-","1.102"" L x 0.669"" W (28.00mm x 17.00mm)","-","-20°C ~ 70°C"
"http://datasheets.avx.com/BestCap.pdf","-","478-13087-ND","BZ094B153ZNBA1","AVX Corporation","AVX Corporation","CAP 15MF -20% +80% 4.5V SMD","476","12.91","0","1","Bulk","BestCap® BZ","Active","15 mF","-20%, +80%","4.5 V","300mOhm @ 1kHz","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","BZ09, 2 Lead","-","0.669"" L x 0.591"" W (17.00mm x 15.00mm)","0.094"" (2.40mm)","-20°C ~ 70°C"
"-","-","478-BZ013A703ZAB-ND","BZ013A703ZAB","AVX Corporation","AVX Corporation","BESTCAP","0","12.93254","0","390","Bulk","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"https://www.vishay.com/docs/28409/196hvc.pdf","-","MAL219691154E3-ND","MAL219691154E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 4F -20% +80% 5.6V SMD","0","12.99043","0","70","Tray","ENYCAP™ 196HVC","Active","4 F","-20%, +80%","5.6 V","10Ohm @ 1kHz","1000 Hrs @ 85°C","SMD (SMT) Tabs","Surface Mount","Coin, Wide Terminals Same Side","-","0.551"" L x 0.551"" W (14.00mm x 14.00mm)","0.150"" (3.80mm)","-20°C ~ 70°C"
"-","-","478-BZ015A503ZSBAJ-ND","BZ015A503ZSBAJ","AVX Corporation","AVX Corporation","BESTCAP","0","13.00862","0","390","Bulk","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"http://www.elna.co.jp/en/capacitor/new/pdf/dhl_e.pdf","//media.digikey.com/Photos/Elna%20America%20Photos/DHL-5R5D105T.jpg","604-1157-ND","DHL-5R5D105T","Elna America","Elna America","CAP 1F -20% +80% 5.5V T/H","0","13.03","0","1","Bulk","DHL","Active","1 F","-20%, +80%","5.5 V","20Ohm","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.846"" Dia (21.50mm)","0.374"" (9.50mm)","-40°C ~ 85°C"
"-","-","478-BZ015A503ZNB-ND","BZ015A503ZNB","AVX Corporation","AVX Corporation","BESTCAP","0","13.04667","0","390","Bulk","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ01CA223ZSB.jpg","478-BZ114B823ZSB888-ND","BZ114B823ZSB888","AVX Corporation","AVX Corporation","BESTCAP","0","13.08469","0","390","Bulk","BestCap® BZ","Active","82 mF","-20%, +80%","4.5 V","-","1000 Hrs @ 70°C","-","Surface Mount","BZ01, 3 Lead","-","1.102"" L x 0.669"" W (28.00mm x 17.00mm)","-","-20°C ~ 70°C"
"http://nichicon-us.com/english/products/pdfs/e-jjc.pdf","//media.digikey.com/photos/Nichicon%20Photos/JJC0E156MELZ.JPG","493-3299-ND","JJC0E156MELZ","Nichicon","Nichicon","CAP 15F 20% 2.5V T/H","5","13.1","0","1","Bulk","EVerCAP® JC","Active","15 F","±20%","2.5 V","120mOhm","2000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can - Snap-In","0.394"" (10.00mm)","0.866"" Dia (22.00mm)","0.866"" (22.00mm)","-25°C ~ 60°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-m-supercapacitors-cylindrical-cells-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/M1325-2R5905-R.jpg","283-3013-ND","M1325-2R5905-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 9F -20% +80% 2.5V T/H","158","13.15","0","1","Bulk","M","Active","9 F","-20%, +80%","2.5 V","30mOhm @ 100Hz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","1.118"" (28.40mm)","-40°C ~ 60°C"
"-","-","478-BZ013A703ZLB-ND","BZ013A703ZLB","AVX Corporation","AVX Corporation","BESTCAP","0","13.17979","0","390","Bulk","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"https://www.vishay.com/docs/28409/196hvc.pdf","//media.digikey.com/Photos/Vishay%20BC%20Photos/MAL219691114E3.JPG","4704PHBK-ND","MAL219691114E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 4F -20% +80% 5.6V T/H","195","13.18","0","1","Tray","ENYCAP™ 196HVC","Active","4 F","-20%, +80%","5.6 V","10Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Horizontal","0.394"" (10.00mm)","0.276"" Dia x 0.394"" L (7.00mm x 10.00mm)","0.276"" (7.00mm)","-20°C ~ 70°C"
"-","//media.digikey.com/photos/AVX%20Photos/BZ01CA223ZSB.jpg","478-BZ013A703ZSBAJ-ND","BZ013A703ZSBAJ","AVX Corporation","AVX Corporation","BESTCAP","0","13.24495","0","105","Bulk","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"http://www.illinoiscapacitor.com/pdf/seriesDocuments/DER%20series.pdf","//media.digikey.com/Photos/Illinois%20Capacitor/MFG_2-lead_snapin.jpg","107DER2R5SBG-ND","107DER2R5SBG","Illinois Capacitor","Illinois Capacitor","CAP 100F -20%, +50% 2.5V T/H","0","13.26156","0","800","Bulk","DER","Active","100 F","-20%, +50%","2.5 V","25mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can - Snap-In","0.394"" (10.00mm)","0.866"" Dia (22.00mm)","1.831"" (46.50mm)","-25°C ~ 70°C"
"http://datasheets.avx.com/AVX-SCC.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCC-SHRK-WRP.jpg","SCCY62V307VSB-ND","SCCY62V307VSB","AVX Corporation","AVX Corporation","CAP 300F -5% +25% 2.7V T/H","0","13.302","0","40","Bulk","SCC","Active","300 F","-5%, +25%","2.7 V","-","1000 Hrs @ 60°C","Solder Lug","Through Hole","Radial, Can - Solder Lug","0.886"" (22.50mm)","1.378"" Dia (35.00mm)","2.520"" (64.00mm)","-40°C ~ 65°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ054B473ZNBIN.JPG","478-BZ054B473ZNBDE-ND","BZ054B473ZNBDE","AVX Corporation","AVX Corporation","BESTCAP","0","13.31293","0","400","Bulk","BestCap® BZ","Active","47 mF","-20%, +80%","4.5 V","-","1000 Hrs @ 70°C","-","Through Hole","BZ05, 2 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","-","-20°C ~ 70°C"
"https://www.vishay.com/docs/28409/196hvc.pdf","-","MAL219691215E3-ND","MAL219691215E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 15F -20% +80% 7V T/H","0","13.35275","0","40","Tray","ENYCAP™ 196HVC","Active","15 F","-20%, +80%","7 V","3Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Horizontal","0.512"" (13.00mm)","0.472"" Dia x 0.492"" L (12.00mm x 12.50mm)","0.472"" (12.00mm)","-20°C ~ 85°C"
"http://datasheets.avx.com/BestCap.pdf","-","478-BZ054B473ZWBBQ-ND","BZ054B473ZWBBQ","AVX Corporation","AVX Corporation","BESTCAP","0","13.36998","0","400","Bulk","BestCap® BZ","Active","47 mF","-20%, +80%","4.5 V","-","1000 Hrs @ 70°C","Wire Leads","Through Hole","Radial","0.394"" (10.00mm)","1.000"" L x 0.591"" W (25.40mm x 15.00mm)","-","-20°C ~ 70°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ054B473ZNBIN.JPG","478-BZ054B473ZNB-ND","BZ054B473ZNB","AVX Corporation","AVX Corporation","BESTCAP","0","13.408","0","400","Bulk","BestCap® BZ","Active","47 mF","-20%, +80%","4.5 V","-","1000 Hrs @ 70°C","-","Through Hole","BZ05, 2 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","-","-20°C ~ 70°C"
"-","-","478-BZ05CA103ZNB-ND","BZ05CA103ZNB","AVX Corporation","AVX Corporation","BESTCAP","0","13.5031","0","400","Bulk","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","478-BWC354104ZWB-ND","BWC354104ZWB","AVX Corporation","AVX Corporation","SUPERCAPS","0","13.5031","0","400","Bulk","-","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"-","-","478-BWC354104ZSB-ND","BWC354104ZSB","AVX Corporation","AVX Corporation","SUPERCAPS","0","13.5031","0","400","Bulk","-","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"http://datasheets.avx.com/BestCap.pdf","-","478-BZ054B473ZWB-ND","BZ054B473ZWB","AVX Corporation","AVX Corporation","BESTCAP","0","13.56015","0","400","Bulk","BestCap® BZ","Active","47 mF","-20%, +80%","4.5 V","-","1000 Hrs @ 70°C","Wire Leads","Through Hole","Radial","0.394"" (10.00mm)","1.000"" L x 0.591"" W (25.40mm x 15.00mm)","-","-20°C ~ 70°C"
"https://api.kemet.com/component-edge/download/datasheet/FG0H473ZF.pdf","//media.digikey.com/photos/Kemet%20Photos/FG0H475ZF.JPG","399-13108-ND","FG0H475ZF","KEMET","KEMET","CAP 4.7F -20% +80% 5.5V T/H","32","13.58","0","1","Bulk","FG","Active","4.7 F","-20%, +80%","5.5 V","35Ohm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.400"" (10.16mm)","1.122"" Dia (28.50mm)","0.866"" (22.00mm)","-25°C ~ 70°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ055A333ZSB.jpg","478-3520-ND","BZ154B473ZNB","AVX Corporation","AVX Corporation","CAP 47MF -20% +80% 4.5V SMD","159","13.63","0","1","Tray","BestCap® BZ","Active","47 mF","-20%, +80%","4.5 V","170mOhm","1000 Hrs @ 70°C","SMD (SMT) Tabs","Surface Mount","BZ15, 2 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","0.083"" (2.10mm)","-20°C ~ 70°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-hv-supercapacitors-cylindrical-cells-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/HV1850-2R7806-R.JPG","283-4201-ND","HV1850-2R7806-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 80F -10% +30% 2.7V T/H","25","13.69","0","1","Bulk","HV","Active","80 F","-10%, +30%","2.7 V","-","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","-","-","-","-40°C ~ 65°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ054B473ZNBIN.JPG","478-BZ055B333ZNB-ND","BZ055B333ZNB","AVX Corporation","AVX Corporation","BESTCAP","0","13.69328","0","400","Bulk","BestCap® BZ","Active","33 mF","-20%, +80%","5.5 V","150mOhm @ 1kHz","1000 Hrs @ 70°C","-","Through Hole","BZ05, 2 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","-","-20°C ~ 70°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLC-3R8/200MR16X25","//media.digikey.com/photos/TecateGroup/MFG_TPLC-3R8-200MR16X25.jpg","2085-TPLC-3R8/200MR16X25-ND","TPLC-3R8/200MR16X25","Tecate Group","Tecate Group","CAP HYBRID 200F 3.8V T/H","255","13.72","0","1","Tray","TPLC","Active","200 F","±20%","3.8 V","70mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","1.063"" (27.00mm)","-15°C ~ 70°C"
"https://www.vishay.com/docs/28409/196hvc.pdf","-","MAL219691206E3-ND","MAL219691206E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 15F -20% +80% 8.4V T/H","0","13.74133","0","90","Tray","ENYCAP™ 196HVC","Active","15 F","-20%, +80%","8.4 V","3.6Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Vertical","0.492"" (12.50mm)","0.472"" Dia (12.00mm)","0.591"" (15.00mm)","-20°C ~ 85°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dz_e_p230-231.pdf","//media.digikey.com/photos/Elna%20America%20Photos/MFG_DZ%20SERIES%20radial.jpg","604-1038-ND","DZ-2R5D206T","Elna America","Elna America","CAP 20F -20% +80% 2.5V T/H","603","13.75","0","1","Bulk","DZ","Active","20 F","-20%, +80%","2.5 V","200mOhm","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.709"" Dia (18.00mm)","1.654"" (42.00mm)","-25°C ~ 70°C"
"http://nichicon-us.com/english/products/pdfs/e-jum.pdf","//media.digikey.com/photos/Nichicon%20Photos/JUMT1476MHD.JPG","493-3298-ND","JUMT1476MHD","Nichicon","Nichicon","CAP 47F 20% 2.7V T/H","0","13.87","0","1","Bulk","EVerCAP® JUM","Active","47 F","±20%","2.7 V","100mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.709"" Dia (18.00mm)","1.654"" (42.00mm)","-25°C ~ 70°C"
"-","//media.digikey.com/Photos/Taiyo%20Yuden%20Photos/LP12352R7206.jpg","587-6434-ND","LP12352R7206","Taiyo Yuden","Taiyo Yuden","SUPERCAPACITOR 20F 2.7V","300","13.91","0","1","Bulk","LP","Active","20 F","±20%","2.7 V","-","-","PC Pins","Through Hole","Radial, Can","-","0.492"" Dia (12.50mm)","1.457"" (37.00mm)","-40°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-phb-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHB-5R0V255-R.JPG","283-3522-ND","PHB-5R0V255-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 2.5F -10% +30% 5V T/H","349","13.92","0","1","Bulk","PHB","Active","2.5 F","-10%, +30%","5 V","200mOhm @ 100Hz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.209"" (5.30mm)","0.839"" L x 0.433"" W (21.30mm x 11.00mm)","0.906"" (23.00mm)","-25°C ~ 70°C"
"https://www.vishay.com/docs/28409/196hvc.pdf","-","MAL219691126E3-ND","MAL219691126E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 4F -20% +80% 8.4V T/H","0","13.9305","0","60","Tray","ENYCAP™ 196HVC","Active","4 F","-20%, +80%","8.4 V","15Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Horizontal","0.571"" (14.50mm)","0.276"" Dia x 0.591"" L (7.00mm x 15.00mm)","0.276"" (7.00mm)","-20°C ~ 70°C"
"http://nichicon-us.com/english/products/pdfs/e-jjc.pdf","//media.digikey.com/Photos/Nichicon%20Photos/EVERCAPJC30-SERIES.jpg","493-3312-ND","JJC0E566MELB","Nichicon","Nichicon","CAP 56F 20% 2.5V T/H","0","14.0067","0","200","Bulk","EVerCAP® JC","Active","56 F","±20%","2.5 V","70mOhm @ 1kHz","2000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can - Snap-In","0.394"" (10.00mm)","1.181"" Dia (30.00mm)","1.260"" (32.00mm)","-25°C ~ 60°C"
"https://products.nichicon.co.jp/en/pdf/XJA046/e-juw.pdf","//media.digikey.com/Photos/Nichicon%20Photos/JUWT1826MHD.JPG","493-4339-ND","JUWT1826MHD","Nichicon","Nichicon","CAP 82F 20% 2.7V T/H","235","14.03","0","1","Bulk","EVerCAP® JUW","Active","82 F","±20%","2.7 V","100mOhm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.709"" Dia (18.00mm)","1.654"" (42.00mm)","-25°C ~ 70°C"
"https://www.vishay.com/docs/28409/196hvc.pdf","-","MAL219691116E3-ND","MAL219691116E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 4F -20% +80% 8.4V T/H","0","14.05617","0","60","Tray","ENYCAP™ 196HVC","Active","4 F","-20%, +80%","8.4 V","15Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Horizontal","0.571"" (14.50mm)","0.276"" Dia x 0.591"" L (7.00mm x 15.00mm)","0.276"" (7.00mm)","-20°C ~ 70°C"
"https://www.vishay.com/docs/28409/196hvc.pdf","-","MAL219691106E3-ND","MAL219691106E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 4F -20% +80% 8.4V T/H","0","14.05619","0","84","Tray","ENYCAP™ 196HVC","Active","4 F","-20%, +80%","8.4 V","15Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Vertical","0.295"" (7.50mm)","0.276"" Dia (7.00mm)","0.591"" (15.00mm)","-20°C ~ 70°C"
"http://datasheets.avx.com/BestCap.pdf","-","478-BZ054B473ZWBB8-ND","BZ054B473ZWBB8","AVX Corporation","AVX Corporation","BESTCAP","0","14.07365","0","400","Bulk","BestCap® BZ","Active","47 mF","-20%, +80%","4.5 V","-","1000 Hrs @ 70°C","Wire Leads","Through Hole","Radial","0.394"" (10.00mm)","1.000"" L x 0.591"" W (25.40mm x 15.00mm)","-","-20°C ~ 70°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-phv-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHV-5R4H305-R.JPG","283-4186-ND","PHV-5R4H305-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 3F -10% +30% 5.4V T/H","533","14.09","0","1","Bulk","PHV","Active","3 F","-10%, +30%","5.4 V","80mOhm @ 100Hz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can, Horizontal","0.465"" (11.80mm)","1.280"" L x 0.681"" W (32.50mm x 17.30mm)","0.354"" (9.00mm)","-40°C ~ 65°C"
"https://www.tecategroup.com/products/data_sheet.php?i=PBLC-3R8/100MA2","//media.digikey.com/Photos/TecateGroup/MFG_PBLC-3R8_100MA2.jpg","2085-PBLC-3R8/100MA2-ND","PBLC-3R8/100MA2","Tecate Group","Tecate Group","LIC 100F 3.8V W/CONNECTOR","0","14.15","0","0","Bulk","PBLC™","Active","100 F","±20%","3.8 V","-","1000 Hrs @ 70°C","Wire Leads","User Defined","Radial, Can","-","0.492"" Dia (12.50mm)","0.984"" (25.00mm)","-15°C ~ 70°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-phb-supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/Photos/Cooper%20Bussmann%20Photos/PHB-5R0V305-R.JPG","283-3521-ND","PHB-5R0V305-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 3F -10% +30% 5V T/H","275","14.21","0","1","Bulk","PHB","Active","3 F","-10%, +30%","5 V","200mOhm @ 100Hz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.465"" (11.80mm)","0.681"" L x 0.354"" W (17.30mm x 9.00mm)","1.280"" (32.50mm)","-25°C ~ 70°C"
"-","-","478-BZ054B473ZSBBQ-ND","BZ054B473ZSBBQ","AVX Corporation","AVX Corporation","BESTCAP","0","14.28285","0","400","Bulk","*","Active","-","-","-","-","-","-","-","-","-","-","-","-"
"https://www.tecategroup.com/products/data_sheet.php?i=PBLL-11.0/5.4","//media.digikey.com/Photos/TecateGroup/MFG_SCAP.PBLL-0.25_5.4.jpg","2085-SCAP,PBLL-11.0/5.4-ND","SCAP,PBLL-11.0/5.4","Tecate Group","Tecate Group","CAP 11F -10% +20% 5.4V UCAP PACK","27","14.29","0","1","Bulk","PBLL","Active","11 F","-10%, +20%","5.4 V","130mOhm @ 1kHz","1000 Hrs @ 85°C","Wire Leads with Connector","User Defined","Radial, Can","-","1.516"" L x 1.024"" W (38.50mm x 26.00mm)","0.531"" (13.50mm)","-40°C ~ 85°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ055A333ZSB.jpg","478-BZ055B473NSB-ND","BZ055B473NSB","AVX Corporation","AVX Corporation","BESTCAP","0","14.35893","0","400","Bulk","BestCap® BZ","Active","47 mF","±30%","5.5 V","-","1000 Hrs @ 70°C","-","Surface Mount","BZ05, 3 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","-","-20°C ~ 70°C"
"http://datasheets.avx.com/BestCap.pdf","//media.digikey.com/photos/AVX%20Photos/BZ054B473ZNBIN.JPG","478-BZ155B823ZNB-ND","BZ155B823ZNB","AVX Corporation","AVX Corporation","BESTCAP","0","14.35893","0","400","Bulk","BestCap® BZ","Active","0.082 mF","-20%, +80%","5.5 V","-","1000 Hrs @ 70°C","-","Through Hole","BZ05, 2 Lead","-","0.787"" L x 0.591"" W (20.00mm x 15.00mm)","-","-20°C ~ 70°C"
